1,Abra,abra
2,Agusan del Norte,agusan-del-norte
3,Agusan del Sur,agusan-del-sur
4,Aklan,aklan
5,Albay,albay
6,Antique,antique
7,Apayao,apayao
8,Aurora,aurora
9,Basilan,basilan
10,Bataan,bataan
11,Batanes,batanes
12,Batangas,batangas
13,Benguet,benguet
14,Biliran,biliran
15,Bohol,bohol
16,Bukidnon,bukidnon
17,Bulacan,bulacan
18,Cagayan,cagayan
19,Camarines Norte,camarines-norte
20,Camarines Sur,camarines-sur
21,Camiguin,camiguin
22,Capiz,capiz
23,Catanduanes,catanduanes
24,Cavite,cavite
25,Cebu,cebu
26,Compostela Valley,compostela-valley
27,Cotabato,cotabato
28,Davao del Norte,davao-del-norte
29,Davao del Sur,davao-del-sur
30,Davao Oriental,davao-oriental
31,Eastern Samar,eastern-samar
32,Guimaras,guimaras
33,Ifugao,ifugao
34,Ilocos Norte,ilocos-norte
35,Ilocos Sur,ilocos-sur
36,Iloilo,iloilo
37,Isabela,isabela
38,Kalinga,kalinga
39,La Union,la-union
40,Laguna,laguna
41,Lanao del Norte,lanao-del-norte
42,Lanao del Sur,lanao-del-sur
43,Leyte,leyte
44,Maguindanao,maguindanao
45,Marinduque,marinduque
46,Masbate,masbate
47,Metro Manila,metro-manila
48,Misamis Occidental,misamis-occidental
49,Misamis Oriental,misamis-oriental
50,Mountain Province,mountain-province
51,Negros Occidental,negros-occidental
52,Negros Oriental,negros-oriental
53,Northern Samar,northern-samar
54,Nueva Ecija,nueva-ecija
55,Nueva Vizcaya,nueva-vizcaya
56,Occidental Mindoro,occidental-mindoro
57,Oriental Mindoro,oriental-mindoro
58,Palawan,palawan
59,Pampanga,pampanga
60,Pangasinan,pangasinan
61,Quezon,quezon
62,Quirino,quirino
63,Rizal,rizal
64,Romblon,romblon
65,Samar,samar
66,Sarangani,sarangani
67,Siquijor,siquijor
68,Sorsogon,sorsogon
69,South Cotabato,south-cotabato
70,Southern Leyte,southern-leyte
71,Sultan Kudarat,sultan-kudarat
72,Sulu,sulu
73,Surigao del Norte,surigao-del-norte
74,Surigao del Sur,surigao-del-sur
75,Tarlac,tarlac
76,Tawi-Tawi,tawi-tawi
77,Zambales,zambales
78,Zamboanga del Norte,zamboanga-del-norte
79,Zamboanga del Sur,zamboanga-del-sur
80,Zamboanga Sibugay,zamboanga-sibugay